"id","payment_id","username","link","imgsrc","maxbid","addbid1","addbid2","remark","status","created_at","updated_at","bid","tranfer_fee_injapan","delivery_in_thai","payment_status","maxbid_work_by","addbid1_work_by","addbid2_work_by","bid_by","track_id","box_id","weight","round_boat","inform_bill","noted"
"323","106","Pariwatr","https://page.auctions.yahoo.co.jp/jp/auction/w1039636848","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/d5701f489d108720d960a35e5d37ede50ac6a6de/i-img898x1198-1645873881b011xz83252.jpg","2000",\N,\N,\N,"win","2022-03-01T09:55","2022-03-06T15:04","2000","50","0","paid","AdminNatsu",\N,\N,"adminpad","6074-8485-0700","509","0.9","2022-03-05","0",\N
"324","106","Pariwatr","https://page.auctions.yahoo.co.jp/jp/auction/t1038929194","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/0d7b8db174aca23377cc0c53f006ae4b7f8b7afb/i-img1200x900-1645533938hrq9kf14114.jpg","2100","2300",\N,\N,"win","2022-03-01T10:19","2022-03-06T15:03","2530","50","1590","paid","AdminNatsu","AdminNatsu",\N,"adminpad","618486741902","492","0.5","2022-03-05","0",\N
"325","108","pakorn","https://page.auctions.yahoo.co.jp/jp/auction/1038348972","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/6776a135854513af0a71a0c7711b6a2c25dd27bd/i-img1200x774-1645238126nynulu5489.jpg","29777",\N,\N,"ไม่รวมภาษี ไม่รวมค่าส่ง","win","2022-03-01T10:43","2022-03-06T15:02","27500","100","1500","paid","AdminNatsu",\N,\N,"adminpad"," 198168453615","547","8.3","2022-03-05","0",\N
"326","107","Chadaporn","https://page.auctions.yahoo.co.jp/jp/auction/p1039756362","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/6712875c08bbb1a363044c17f8445cc875bd19d7/i-img600x600-1645932340kp4vcr322155.jpg","8500","10500",\N,"ไม่รวมภาษี ไม่รวมค่าส่งค่ะ","win","2022-03-01T13:17","2022-03-06T14:49","10241","50","750","paid","AdminNatsu","AdminNatsu",\N,"adminpad","403494174381","586","3.5","2022-03-05","0",\N
"328","108","pakorn","https://page.auctions.yahoo.co.jp/jp/auction/c924982531","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0208/users/64e383c5b05c965156dd7667daa83ee980a6b4ff/i-img900x600-1628584833arup9d374169.jpg","7255",\N,\N,"ประมูลปิดซื้อตามราคาลิงค์ครับ ไม่รวมภาษี ไม่รวมค่าส่ง","win","2022-03-01T15:00","2022-03-06T15:03","7980","50","1080","paid","AdminNatsu",\N,\N,"adminpad","4040-6680-9510","475","10.3","2022-03-05","0",\N
"337","110","Boom","https://page.auctions.yahoo.co.jp/jp/auction/x1011856598","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0210/users/9bc3a6bcb3b117a2cdf552820cd1f499e468c89a/i-img900x1200-1634046850ct3db0757205.jpg","5000",\N,\N,"ราคาปิดเลยครับ","win","2022-03-02T06:51","2022-03-06T14:53","5000","50","0","paid","AdminSeririnz",\N,\N,"adminpad","624087951270","656","0.35","2022-03-05","0",\N
"338","111","Wiramit","https://page.auctions.yahoo.co.jp/jp/auction/559936329","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0205/users/936e6f3f69d1730e2ed6e42e1e499ecc06b9bdad/i-img600x450-1622445986berrlv947948.jpg","6480",\N,\N,\N,"win","2022-03-02T08:32","2022-03-06T15:05","6480","50","880","paid","adminpunpun",\N,\N,"adminpad","6185-4906-1336","630","0.2","2022-03-05","0",\N
"340","115","prommin","https://page.auctions.yahoo.co.jp/jp/auction/q455838269","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0206/users/0eda0cbd3868f526fa039f8c1990106856b72e7d/i-img1200x900-1622522931o5x2lg221463.jpg","2000",\N,\N,\N,"win","2022-03-02T12:41","2022-03-08T14:45","2200","50","1800","paid","adminying",\N,\N,"adminpad","4379-1566-0615","68","2.35","2022-03-12","0",\N
"342","112","Chadaporn","https://page.auctions.yahoo.co.jp/jp/auction/s1039941074","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/6712875c08bbb1a363044c17f8445cc875bd19d7/i-img600x600-1646030554unjcrh278598.jpg","6000",\N,\N,"ไม่รวมภาษี ไม่รวมค่าส่ง","win","2022-03-02T12:51","2022-03-08T14:54","3465","50","750","paid","adminying",\N,\N,"adminpad","401835658501","29","2.95","2022-03-12","0",\N
"345","118","Pariwatr","https://page.auctions.yahoo.co.jp/jp/auction/k1039539243","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/1df3b3acb9a57d392c4c557289b2bd1692751334/i-img900x1200-1645822884cz3dqp773596.jpg","6000",\N,\N,\N,"win","2022-03-02T14:38","2022-03-08T14:54","5401","50","1610","paid","adminying",\N,\N,"adminpad","386064397283","97","0.7","2022-03-12","0",\N
"346","113","pawanu","https://page.auctions.yahoo.co.jp/jp/auction/t1039080032","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/747f56adedb74fd25177bfc9dad84e1c11cf457a/i-img1200x900-1645621420genpqv49.jpg","2780",\N,\N,"ไม่รวมภาษี ไม่รวมส่ง","win","2022-03-02T15:35","2022-03-06T14:58","2780","50","0","paid","adminying",\N,\N,"adminpad","522256735560","618","0.05","2022-03-05","0",\N
"355","114","Itthiponbas","https://page.auctions.yahoo.co.jp/jp/auction/m1040113874","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/1b8a70e1fc1988cc75be121691116be7f4a196d0/i-img600x600-1646112786n2hddx4663.jpg","6800",\N,\N,"","win","2022-03-03T11:11","2022-03-06T15:05","7217","50","755","paid","adminying",\N,\N,"adminpad","452070747111","596","0.75","2022-03-05","0",\N
"360","124","Ritthiphan","https://page.auctions.yahoo.co.jp/jp/auction/d1038217209","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/e96cae9791de1debb15e9221ebb6e685c7d2a93e/i-img1200x1200-164517345144peyf10854.jpg","1000",\N,\N,\N,"win","2022-03-03T16:00","2022-03-13T13:53","809","50","210","paid","adminying",\N,\N,"adminpad","626025757173","402","0.1","2022-03-12","0",\N
"368","124","Ritthiphan","https://page.auctions.yahoo.co.jp/jp/auction/e1039018816","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/9f24139d312de8e4c240d54c0715bcc814bfd5d5/i-img600x450-1645584461jhglpi183321.jpg","700","1400",\N,\N,"win","2022-03-03T17:52","2022-03-13T13:38","500","50","980","paid","adminpunpun","AdminSeririnz",\N,"adminpad","no tracking","357","0.95","2022-03-12","0",\N
"372","124","Ritthiphan","https://page.auctions.yahoo.co.jp/jp/auction/b1031251620","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0301/users/7e962324c373ffcc7ba9b88cdba2b209de8d3c41/i-img1200x1200-16419536333bo2bv19.jpg","34500",\N,\N,\N,"win","2022-03-04T07:34","2022-03-13T13:53","33800","100","1780","paid","adminpunpun",\N,\N,"adminpad","623178225692","206","7.2","2022-03-12","0",\N
"375","116","Achiraya","https://page.auctions.yahoo.co.jp/jp/auction/k1006284681","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0209/users/ee90f5d7084da120ab9439341df26ba4138920eb/i-img700x700-1631888259y3cd2t255908.jpg","7260",\N,\N,"กดซื้อเลยได้ไหมคะ","win","2022-03-04T09:50","2022-03-13T13:36","7260","50","650","paid","AdminSeririnz",\N,\N,"adminpad","4019-6254-6134","131","7.4","2022-03-12","0",\N
"378","136","Boom","https://page.auctions.yahoo.co.jp/jp/auction/u1040307276","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/f232745eb3b97f2a0cafc586c05e213048aab699/i-img1200x900-1646199043grb9mj5651.jpg","1000",\N,\N,\N,"win","2022-03-04T13:28","2022-03-15T14:13","1000","50","870","paid","AdminSeririnz",\N,\N,"adminpad","618607029876","25","0.6","2022-03-19","0",\N
"379","117","Boom","https://page.auctions.yahoo.co.jp/jp/auction/p1038452720","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/fc5d8735fd91d494564221c7acf6e8be113f8f95/i-img1200x1200-16452865400pser6628360.jpg","2000",\N,\N,\N,"win","2022-03-04T13:29","2022-03-17T17:17","2000","50","660","paid","AdminSeririnz",\N,\N,"adminpad","623519399742","239","0.75","2022-03-12","0",\N
"380","123","Boom","https://page.auctions.yahoo.co.jp/jp/auction/u1039656853","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/5749417df674e19beca63453385b4be6edf781e1/i-img1088x1088-1645875996fpd3xb162423.jpg","4500","6000",\N,\N,"win","2022-03-05T02:56","2022-03-12T17:05","5250","50","0","paid","adminpunpun","adminying",\N,"adminpad","467913298694","264","2.6","2022-03-12","0",\N
"381","119","Freshiz","https://page.auctions.yahoo.co.jp/jp/auction/c1040089750","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/a2c72ff09d218c584578db97cef26d00c43b259b/i-img1024x768-1646106376ehbavy335893.jpg","9000",\N,\N,"สู้ราคาค่าของอย่างเดียว","win","2022-03-05T05:44","2022-03-08T15:10","9076","50","1150","paid","adminpunpun",\N,\N,"adminpad","4379-3078-6985","134","3.55","2022-03-12","0",\N
"382","119","Freshiz","https://page.auctions.yahoo.co.jp/jp/auction/r1032200584","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0301/users/9b5da72afef3c24f804f01e1e4c41142cbf91424/i-img1200x675-1642388797y6q1dl243380.jpg","5000",\N,\N,"จบเลยคับ","win","2022-03-05T05:45","2022-03-08T15:10","4948","50","1150","paid","adminpunpun",\N,\N,"adminpad","3044-2831-3604","172","0.4","2022-03-12","0",\N
"387","121","pakorn","https://page.auctions.yahoo.co.jp/jp/auction/n1038500661","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/2a70167f1da242e2e3456d462e0a20fd35a6ab96/i-img1024x767-1645321013mxzibb375704.jpg","10000",\N,\N,"ปิด 10000 เยนตามราคา ไม่รวมส่ง","win","2022-03-06T04:48","2022-03-12T17:10","10000","50","0","paid","AdminSeririnz",\N,\N,"adminpad","289760965690","263","13.85","2022-03-12","0",\N
"388","121","pakorn","https://page.auctions.yahoo.co.jp/jp/auction/1040876246","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/2a70167f1da242e2e3456d462e0a20fd35a6ab96/i-img1024x767-1646446106nlrbdj252340.jpg","10000",\N,\N,"ปิด 10000 เยน ไม่รวมค่าส่ง","win","2022-03-06T04:49","2022-03-12T17:09","10000","50","0","paid","AdminSeririnz",\N,\N,"adminpad","289760965690","263","13.85","2022-03-12","0",\N
"390","120","Itthiponbas","https://page.auctions.yahoo.co.jp/jp/auction/w1040355386","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/7a6b6436177be3939c14b3e3f690ac5b5353f07d/i-img1200x675-1646222731yfbfji85656.jpg","6850",\N,\N,\N,"win","2022-03-06T07:14","2022-03-13T13:58","6850","50","765","paid","adminying",\N,\N,"adminpad","623178006651","237","0.7","2022-03-12","0",\N
"391","128","Wiramit","https://page.auctions.yahoo.co.jp/jp/auction/q1039806727","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/1254766866829ed1fb684d86119674bef31e2ad4/i-img1200x900-1645968628lwxaxg1020.jpg","22002",\N,\N,\N,"win","2022-03-06T07:14","2022-03-12T17:10","21720","100","0","paid","adminying",\N,\N,"adminpad","498232509456","335","0.2","2022-03-12","0",\N
"397","126","Prommin","https://page.auctions.yahoo.co.jp/jp/auction/d1040131005","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/c7265456746ce099af98fd66e6e596ecfc3c5955/i-img1200x900-1646123142zzdnjf746.jpg","10000",\N,\N,\N,"win","2022-03-06T09:12","2022-03-12T17:02","11000","50","2680","paid","adminying",\N,\N,"adminpad","403337414163","311","4.45","2022-03-12","0",\N
"402","122","Pariwatr","https://page.auctions.yahoo.co.jp/jp/auction/f1039785029","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/d6845b3a1d9a68394a5ff195ad398f9c297948b0/i-img900x1200-16459502409bfshe337126.jpg","2500",\N,\N,\N,"win","2022-03-06T11:50","2022-03-12T17:03","2000","50","1040","paid","adminying",\N,\N,"adminpad","554285701605","240","0.35","2022-03-12","0",\N
"407","130","Boom","https://page.auctions.yahoo.co.jp/jp/auction/c1039723295","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/0b6031d6a55c6b7f2d0e0fb12ab443a44db76aba/i-img600x450-1645924811g1phne75133.jpg","7000",\N,\N,\N,"win","2022-03-06T13:12","2022-03-12T17:07","3080","50","3410","paid","adminying",\N,\N,"adminpad","403637875012","428","1.75","2022-03-12","0",\N
"408","130","Boom","https://page.auctions.yahoo.co.jp/jp/auction/1039732786","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/0b6031d6a55c6b7f2d0e0fb12ab443a44db76aba/i-img600x450-1645924875tnrjhe73901.jpg","2000",\N,\N,\N,"win","2022-03-06T13:13","2022-03-12T17:06","980","50","2068","paid","adminying",\N,\N,"adminpad","403637875023","430","2.85","2022-03-12","0",\N
"409","130","Boom","https://page.auctions.yahoo.co.jp/jp/auction/n1039729903","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/0b6031d6a55c6b7f2d0e0fb12ab443a44db76aba/i-img600x450-1645924761khxtlj74524.jpg","2000",\N,\N,\N,"win","2022-03-06T13:21","2022-03-12T17:07","1200","50","3410","paid","adminying",\N,\N,"adminpad","403637875034","429","3.7","2022-03-12","0",\N
"412","145","Boom","https://page.auctions.yahoo.co.jp/jp/auction/l1040909046","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/2799042a3e620decb971d4723c70fa765dd045f9/i-img1200x1200-1646463584lyrdg114.jpg","1500",\N,\N,\N,"win","2022-03-07T05:19","2022-03-29T04:33","1100","50","1111","paid","AdminSeririnz",\N,\N,"adminpad","623179602430","188","0.3","2022-03-19","0",\N
"413","132","Porapat","https://page.auctions.yahoo.co.jp/jp/auction/w1039930315","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/0fcf2bcc7dd2dc45deee0da1188d9cd0bb1035af/i-img896x1200-1646034695hxfi727105.jpg","10000",\N,\N,"ไม่รวมค่าส่ง ไม่รวมภาษี","win","2022-03-07T09:28","2022-03-12T17:11","6000","50","1560","paid","adminying",\N,\N,"adminpad","618613843105","416","2.35","2022-03-12","0",\N
"414","125","pakorn","https://page.auctions.yahoo.co.jp/jp/auction/h1040868606","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/1357e64a451963b63816353cbe30594e2690f90f/i-img1016x731-1646446225j9ydbg268268.jpg","17110",\N,\N,"ไม่รวมภาษี ไม่รวมค่าส่ง","win","2022-03-07T09:36","2022-03-12T17:08","18150","50","1450","paid","adminying",\N,\N,"adminpad","1812-2201-1202","248","7.9","2022-03-12","0",\N
"416","127","Itthiponbas","https://page.auctions.yahoo.co.jp/jp/auction/w1040935301","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/6712875c08bbb1a363044c17f8445cc875bd19d7/i-img600x600-1646467643als3lr281150.jpg","17250",\N,\N,\N,"win","2022-03-07T12:28","2022-03-12T17:13","17172","50","750","paid","adminying",\N,\N,"adminpad","403555634683","434","1.05","2022-03-12","0",\N
"418","135","prommin","https://page.auctions.yahoo.co.jp/jp/auction/h1038931344","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0302/users/0899068042e59c09e0711ab7aa04b94b9207c96a/i-img600x399-16455375263eadjn21713.jpg","1500",\N,\N,\N,"win","2022-03-07T14:33","2022-03-12T17:03","1500","50","1150","paid","adminying",\N,\N,"adminpad","437986472210","469","0.6","2022-03-12","0",\N
"419","147","prommin","https://page.auctions.yahoo.co.jp/jp/auction/x1029629944","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0301/users/85e1247c0759535ce6994f338b5c774347c6d281/i-img640x480-1641212907qdxqh8211781.jpg","1500",\N,\N,\N,"win","2022-03-07T14:40","2022-03-18T16:37","1500","50","1800","paid","adminying",\N,\N,"adminpad","169846104853","372","0.8","2022-03-19","0",\N
"420","148","prommin","https://page.auctions.yahoo.co.jp/jp/auction/r1011557349","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0210/users/fa133321b130440ecd50005fb1cc9fc82546a641/i-img899x1200-1633936077pv2zws22910.jpg","1000",\N,\N,\N,"win","2022-03-07T15:05","2022-03-18T16:37","1000","50","1210","paid","adminying",\N,\N,"adminpad","193040284474","389","0.7","2022-03-19","0",\N
"425","131","pakorn","https://page.auctions.yahoo.co.jp/jp/auction/k1040883221","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/2a70167f1da242e2e3456d462e0a20fd35a6ab96/i-img898x1198-1646446399u2likv6657.jpg","11000",\N,\N,"ปิดตามราคาครับ","win","2022-03-08T08:40","2022-03-13T13:41","11000","50","0","paid","adminying",\N,\N,"adminpad","2897-6096-5723","427","8.1","2022-03-12","0",\N
"430","134","Chadaporn","https://page.auctions.yahoo.co.jp/jp/auction/d1041087026","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/6712875c08bbb1a363044c17f8445cc875bd19d7/i-img600x600-1646551014pt35qs343908.jpg","5000",\N,\N,"ไม่รวมส่ง ไม่รวมภาษี","win","2022-03-08T12:44","2022-03-17T17:15","5225","50","750","paid","adminying",\N,\N,"adminpad","403497879234","17","2.35","2022-03-19","0",\N
"432","141","Ritthiphan","https://page.auctions.yahoo.co.jp/jp/auction/w1029859534","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0301/users/4cb81d100c8e0e093bd83137e57c7e9aaa07296a/i-img640x480-16413296231uatqh356318.jpg","5000",\N,\N,\N,"win","2022-03-08T15:55","2022-03-18T16:36","4500","50","0","paid","adminying",\N,\N,"adminpad","623179112721","38","1.55","2022-03-19","0",\N
"433","138","Pongsathorn","https://page.auctions.yahoo.co.jp/jp/auction/e1041537591","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/dda02bb95fbc987bf5e67f5d357aca370438d4ea/i-img1200x900-16467931776pvi6z59873.jpg","3000",\N,\N,"ปิดเลย","win","2022-03-09T03:55","2022-03-18T15:36","3000","50","198","paid","adminpunpun",\N,\N,"adminpad","628308913131","91","0.35","2022-03-19","0",\N
"434","138","Pongsathorn","https://page.auctions.yahoo.co.jp/jp/auction/m1041273388","https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0303/users/f8d618a0583986460a2685e7c1b132ff4bd9bba3/i-img1200x900-1646645990tfjudh417218.jpg","910",\N,\N,"รวมภาษี เป็น 1,000 เยน 
ค่าส่ง 930 เยน 
ซื้อเลยครับ","win","2022-03-09T04:48","2022-03-18T16:34","1000","50","930","paid","adminpunpun",\N,\N,"adminpad","490066136070","383","0.25","2022-03-12","0","มาในชื่อพี่ปัด Shimizu543 Monjira (ปัด)"
